Date,Ticker,BRIGADE.NS,DLF.NS,GODREJPROP.NS,IBREALEST.NS,LODHA.NS,OBEROIRLTY.NS,PHOENIXLTD.NS,PRESTIGE.NS,SOBHA.NS,SUNTECK.NS
2004-11-01,Open,,,,32.54999923706055,,,,,,
2004-11-01,Volume,,,,648100.0,,,,,,
2004-11-02,Adj Close,,,,28.140417098999023,,,,,,
2004-11-02,Close,,,,32.20000076293945,,,,,,
2004-11-02,High,,,,33.0,,,,,,
2004-11-02,Low,,,,32.04999923706055,,,,,,
2004-11-02,Open,,,,32.45000076293945,,,,,,
2004-11-02,Volume,,,,593570.0,,,,,,
2004-11-03,Adj Close,,,,27.703453063964844,,,,,,
2004-11-03,Close,,,,31.700000762939453,,,,,,
2004-11-03,High,,,,32.650001525878906,,,,,,
2004-11-03,Low,,,,31.5,,,,,,
2004-11-03,Open,,,,32.349998474121094,,,,,,
2004-11-03,Volume,,,,501239.0,,,,,,
2004-11-04,Adj Close,,,,28.446287155151367,,,,,,
2004-11-04,Close,,,,32.54999923706055,,,,,,
2004-11-04,High,,,,33.150001525878906,,,,,,
2004-11-04,Low,,,,31.75,,,,,,
2004-11-04,Open,,,,31.75,,,,,,
2004-11-04,Volume,,,,1495204.0,,,,,,
2004-11-05,Adj Close,,,,30.50002098083496,,,,,,
2004-11-05,Close,,,,34.900001525878906,,,,,,
2004-11-05,High,,,,35.349998474121094,,,,,,
2004-11-05,Low,,,,32.54999923706055,,,,,,
2004-11-05,Open,,,,32.79999923706055,,,,,,
2004-11-05,Volume,,,,4030754.0,,,,,,
2004-11-08,Adj Close,,,,29.232826232910156,,,,,,
2004-11-08,Close,,,,33.45000076293945,,,,,,
2004-11-08,High,,,,35.70000076293945,,,,,,
2004-11-08,Low,,,,33.20000076293945,,,,,,
2004-11-08,Open,,,,35.099998474121094,,,,,,
2004-11-08,Volume,,,,799742.0,,,,,,
2004-11-09,Adj Close,,,,29.276519775390625,,,,,,
2004-11-09,Close,,,,33.5,,,,,,
2004-11-09,High,,,,34.0,,,,,,
2004-11-09,Low,,,,33.0,,,,,,
2004-11-09,Open,,,,33.400001525878906,,,,,,
2004-11-09,Volume,,,,441007.0,,,,,,
2004-11-10,Adj Close,,,,29.232826232910156,,,,,,
2004-11-10,Close,,,,33.45000076293945,,,,,,
2004-11-10,High,,,,34.20000076293945,,,,,,
2004-11-10,Low,,,,33.04999923706055,,,,,,
2004-11-10,Open,,,,33.650001525878906,,,,,,
2004-11-10,Volume,,,,572183.0,,,,,,
2004-11-11,Adj Close,,,,29.32021713256836,,,,,,
2004-11-11,Close,,,,33.54999923706055,,,,,,
2004-11-11,High,,,,34.20000076293945,,,,,,
2004-11-11,Low,,,,33.25,,,,,,
2004-11-11,Open,,,,33.70000076293945,,,,,,
2004-11-11,Volume,,,,297459.0,,,,,,
2004-11-12,Adj Close,,,,29.01434326171875,,,,,,
2004-11-12,Close,,,,33.20000076293945,,,,,,
2004-11-12,High,,,,34.25,,,,,,
2004-11-12,Low,,,,33.04999923706055,,,,,,
2004-11-12,Open,,,,34.0,,,,,,
2004-11-12,Volume,,,,142102.0,,,,,,
2004-11-15,Adj Close,,,,29.01434326171875,,,,,,
2004-11-15,Close,,,,33.20000076293945,,,,,,
2004-11-15,High,,,,33.20000076293945,,,,,,
2004-11-15,Low,,,,33.20000076293945,,,,,,
2004-11-15,Open,,,,33.20000076293945,,,,,,
2004-11-15,Volume,,,,0.0,,,,,,
2004-11-16,Adj Close,,,,29.451305389404297,,,,,,
2004-11-16,Close,,,,33.70000076293945,,,,,,
2004-11-16,High,,,,33.900001525878906,,,,,,
2004-11-16,Low,,,,33.150001525878906,,,,,,
2004-11-16,Open,,,,33.25,,,,,,
2004-11-16,Volume,,,,235062.0,,,,,,
2004-11-17,Adj Close,,,,30.368925094604492,,,,,,
2004-11-17,Close,,,,34.75,,,,,,
2004-11-17,High,,,,35.0,,,,,,
2004-11-17,Low,,,,33.5,,,,,,
2004-11-17,Open,,,,33.75,,,,,,
2004-11-17,Volume,,,,977027.0,,,,,,
2004-11-18,Adj Close,,,,32.9470100402832,,,,,,
2004-11-18,Close,,,,37.70000076293945,,,,,,
2004-11-18,High,,,,38.349998474121094,,,,,,
2004-11-18,Low,,,,34.29999923706055,,,,,,
2004-11-18,Open,,,,34.95000076293945,,,,,,
2004-11-18,Volume,,,,3253213.0,,,,,,
2004-11-19,Adj Close,,,,32.9470100402832,,,,,,
2004-11-19,Close,,,,37.70000076293945,,,,,,
2004-11-19,High,,,,37.70000076293945,,,,,,
2004-11-19,Low,,,,37.70000076293945,,,,,,
2004-11-19,Open,,,,37.70000076293945,,,,,,
2004-11-19,Volume,,,,0.0,,,,,,
2004-11-22,Adj Close,,,,32.68483352661133,,,,,,
2004-11-22,Close,,,,37.400001525878906,,,,,,
2004-11-22,High,,,,37.900001525878906,,,,,,
2004-11-22,Low,,,,33.599998474121094,,,,,,
2004-11-22,Open,,,,36.5,,,,,,
2004-11-22,Volume,,,,426636.0,,,,,,
2004-11-23,Adj Close,,,,33.8209342956543,,,,,,
2004-11-23,Close,,,,38.70000076293945,,,,,,
2004-11-23,High,,,,39.25,,,,,,
2004-11-23,Low,,,,37.0,,,,,,
2004-11-23,Open,,,,37.0,,,,,,
2004-11-23,Volume,,,,620740.0,,,,,,
2004-11-24,Adj Close,,,,34.9133415222168,,,,,,
2004-11-24,Close,,,,39.95000076293945,,,,,,
2004-11-24,High,,,,40.5,,,,,,
2004-11-24,Low,,,,38.25,,,,,,
2004-11-24,Open,,,,38.95000076293945,,,,,,
2004-11-24,Volume,,,,1100011.0,,,,,,
2004-11-25,Adj Close,,,,34.0394172668457,,,,,,
2004-11-25,Close,,,,38.95000076293945,,,,,,
2004-11-25,High,,,,40.650001525878906,,,,,,
2004-11-25,Low,,,,38.54999923706055,,,,,,
2004-11-25,Open,,,,40.0,,,,,,
2004-11-25,Volume,,,,551022.0,,,,,,
2004-11-26,Adj Close,,,,34.0394172668457,,,,,,
2004-11-26,Close,,,,38.95000076293945,,,,,,
2004-11-26,High,,,,38.95000076293945,,,,,,
2004-11-26,Low,,,,38.95000076293945,,,,,,
2004-11-26,Open,,,,38.95000076293945,,,,,,
2004-11-26,Volume,,,,0.0,,,,,,
2004-11-29,Adj Close,,,,35.08812713623047,,,,,,
2004-11-29,Close,,,,40.150001525878906,,,,,,
2004-11-29,High,,,,40.5,,,,,,
2004-11-29,Low,,,,38.20000076293945,,,,,,
2004-11-29,Open,,,,38.20000076293945,,,,,,
2004-11-29,Volume,,,,333243.0,,,,,,
2004-11-30,Adj Close,,,,36.486412048339844,,,,,,
2004-11-30,Close,,,,41.75,,,,,,
2004-11-30,High,,,,43.0,,,,,,
2004-11-30,Low,,,,40.5,,,,,,
2004-11-30,Open,,,,40.5,,,,,,
2004-11-30,Volume,,,,5116229.0,,,,,,
2004-12-01,Adj Close,,,,43.30303192138672,,,,,,
2004-12-01,Close,,,,49.54999923706055,,,,,,
2004-12-01,High,,,,50.099998474121094,,,,,,
2004-12-01,Low,,,,42.400001525878906,,,,,,
2004-12-01,Open,,,,43.599998474121094,,,,,,
2004-12-01,Volume,,,,4151001.0,,,,,,
2004-12-02,Adj Close,,,,49.070945739746094,,,,,,
2004-12-02,Close,,,,56.150001525878906,,,,,,
2004-12-02,High,,,,59.150001525878906,,,,,,
2004-12-02,Low,,,,51.0,,,,,,
2004-12-02,Open,,,,51.0,,,,,,
2004-12-02,Volume,,,,6307838.0,,,,,,
2004-12-03,Adj Close,,,,58.815223693847656,,,,,,
2004-12-03,Close,,,,67.30000305175781,,,,,,
2004-12-03,High,,,,67.4000015258789,,,,,,
2004-12-03,Low,,,,56.5,,,,,,
2004-12-03,Open,,,,57.79999923706055,,,,,,
2004-12-03,Volume,,,,7858318.0,,,,,,
2004-12-06,Adj Close,,,,54.96994400024414,,,,,,
2004-12-06,Close,,,,62.900001525878906,,,,,,
2004-12-06,High,,,,74.05000305175781,,,,,,
2004-12-06,Low,,,,61.650001525878906,,,,,,
2004-12-06,Open,,,,69.5,,,,,,
2004-12-06,Volume,,,,11627471.0,,,,,,
2004-12-07,Adj Close,,,,59.51435852050781,,,,,,
2004-12-07,Close,,,,68.0999984741211,,,,,,
2004-12-07,High,,,,69.19999694824219,,,,,,
2004-12-07,Low,,,,62.04999923706055,,,,,,
2004-12-07,Open,,,,64.0,,,,,,
2004-12-07,Volume,,,,7721669.0,,,,,,
2004-12-08,Adj Close,,,,65.41334533691406,,,,,,
2004-12-08,Close,,,,74.8499984741211,,,,,,
2004-12-08,High,,,,74.94999694824219,,,,,,
2004-12-08,Low,,,,70.0,,,,,,
2004-12-08,Open,,,,70.0,,,,,,
2004-12-08,Volume,,,,7574697.0,,,,,,
2004-12-09,Adj Close,,,,70.87540435791016,,,,,,
2004-12-09,Close,,,,81.0999984741211,,,,,,
2004-12-09,High,,,,82.3499984741211,,,,,,
2004-12-09,Low,,,,75.5999984741211,,,,,,
2004-12-09,Open,,,,77.69999694824219,,,,,,
2004-12-09,Volume,,,,9983953.0,,,,,,
2004-12-10,Adj Close,,,,77.99789428710938,,,,,,
2004-12-10,Close,,,,89.25,,,,,,
2004-12-10,High,,,,89.25,,,,,,
2004-12-10,Low,,,,82.0,,,,,,
2004-12-10,Open,,,,84.80000305175781,,,,,,
2004-12-10,Volume,,,,8813314.0,,,,,,
2004-12-13,Adj Close,,,,77.99789428710938,,,,,,
2004-12-13,Close,,,,89.25,,,,,,
2004-12-13,High,,,,89.25,,,,,,
2004-12-13,Low,,,,89.25,,,,,,
2004-12-13,Open,,,,89.25,,,,,,
2004-12-13,Volume,,,,0.0,,,,,,
2004-12-14,Adj Close,,,,77.86680603027344,,,,,,
2004-12-14,Close,,,,89.0999984741211,,,,,,
2004-12-14,High,,,,97.80000305175781,,,,,,
2004-12-14,Low,,,,89.0999984741211,,,,,,
2004-12-14,Open,,,,97.80000305175781,,,,,,
2004-12-14,Volume,,,,7865297.0,,,,,,
2004-12-15,Adj Close,,,,73.97783660888672,,,,,,
2004-12-15,Close,,,,84.6500015258789,,,,,,
2004-12-15,High,,,,87.9000015258789,,,,,,
2004-12-15,Low,,,,84.6500015258789,,,,,,
2004-12-15,Open,,,,87.9000015258789,,,,,,
2004-12-15,Volume,,,,728633.0,,,,,,
2004-12-16,Adj Close,,,,70.30733489990234,,,,,,
2004-12-16,Close,,,,80.44999694824219,,,,,,
2004-12-16,High,,,,81.0,,,,,,
2004-12-16,Low,,,,80.44999694824219,,,,,,
2004-12-16,Open,,,,80.5,,,,,,
2004-12-16,Volume,,,,95173.0,,,,,,
2004-12-17,Adj Close,,,,70.9627914428711,,,,,,
2004-12-17,Close,,,,81.19999694824219,,,,,,
2004-12-17,High,,,,84.0,,,,,,
2004-12-17,Low,,,,76.44999694824219,,,,,,
2004-12-17,Open,,,,76.44999694824219,,,,,,
2004-12-17,Volume,,,,9754150.0,,,,,,
2004-12-20,Adj Close,,,,67.42338562011719,,,,,,
2004-12-20,Close,,,,77.1500015258789,,,,,,
2004-12-20,High,,,,81.5,,,,,,
2004-12-20,Low,,,,77.1500015258789,,,,,,
2004-12-20,Open,,,,81.5,,,,,,
2004-12-20,Volume,,,,1673046.0,,,,,,
2004-12-21,Adj Close,,,,67.94774627685547,,,,,,
2004-12-21,Close,,,,77.75,,,,,,
2004-12-21,High,,,,80.5,,,,,,
2004-12-21,Low,,,,73.6500015258789,,,,,,
2004-12-21,Open,,,,73.6500015258789,,,,,,
2004-12-21,Volume,,,,2005263.0,,,,,,
2004-12-22,Adj Close,,,,69.08384704589844,,,,,,
2004-12-22,Close,,,,79.05000305175781,,,,,,
2004-12-22,High,,,,79.9000015258789,,,,,,
2004-12-22,Low,,,,76.25,,,,,,
